N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
75,삼성카드,"33,900",50,+0.15%,"5,000","39,276","115,859",11.26,"75,451",9.53,5.04,
76,쌍용양회,"7,710",160,+2.12%,100,"38,848","503,860",3.60,"8,663,254",28.14,7.92,
77,한미사이언스,"57,700","1,000",-1.70%,500,"38,835","67,305",1.56,"111,133",171.73,3.47,
78,한미약품,"316,500",500,-0.16%,"2,500","38,228","12,078",13.34,"37,383",319.70,1.65,
79,한진칼,"57,500","1,100",-1.88%,"2,500","38,101","66,263",15.47,"71,980",-12.85,-19.55,
80,GS건설,"44,250",800,+1.84%,"5,000","37,830","85,491",26.05,"1,830,992",11.38,7.68,
81,한국항공우주,"37,400",0,0.00%,"5,000","36,456","97,475",13.67,"936,002",48.83,6.39,
82,GS,"38,850",100,-0.26%,"5,000","36,098","92,915",18.06,"257,704",-15.16,-2.82,
83,현대차2우B,"97,900",200,+0.20%,"5,000","35,719","36,485",60.65,"93,110",19.04,N/A,
84,롯데쇼핑,"126,000","1,000",-0.79%,"5,000","35,644","28,289",12.28,"83,008",-4.54,-7.70,
85,롯데지주,"33,700",50,+0.15%,200,"35,354","104,909",10.93,"134,282",-17.98,-3.03,
86,삼성증권,"39,150",100,-0.25%,"5,000","34,961","89,300",27.08,"273,725",7.43,8.15,
87,팬오션,"6,460",370,-5.42%,"1,000","34,533","534,570",10.60,"16,126,023",37.34,3.25,
88,호텔신라,"86,400",800,-0.92%,"5,000","33,910","39,248",18.44,"342,208",-12.19,-36.74,
89,두산퓨얼셀,"51,700",800,+1.57%,100,"33,860","65,494",18.51,"771,074",267.88,4.18,
90,DB손해보험,"46,000",500,+1.10%,500,"32,568","70,800",42.08,"220,857",5.86,6.92,
91,NH투자증권,"11,450",50,-0.43%,"5,000","32,221","281,409",16.46,"517,346",5.96,10.32,
92,키움증권,"123,000","4,000",-3.15%,"5,000","31,978","25,998",23.00,"218,779",5.43,16.97,
93,씨에스윈드,"74,700",0,0.00%,500,"31,502","42,171",9.92,"802,388",88.40,8.19,
94,동서,"31,500","1,400",-4.26%,500,"31,406","99,700",3.96,"303,994",26.83,8.61,
